Index,Depth,PAD4[0],PAD4[1],PAD4[2],PAD4[3],PAD4[4],PAD4[5],PAD4[6],PAD4[7],PAD4[8],PAD4[9],PAD4[10],PAD4[11],PAD4[12],PAD4[13],PAD4[14],PAD4[15],PAD4[16],PAD4[17],PAD4[18],PAD4[19],PAD4[20],PAD4[21],PAD4[22],PAD4[23],PAD4[24]
18,504.0440955,528.8800049,473.6799927,507.3599854,507.2000122,510.9599915,478.5599976,515.5999756,486.0799866,489.2799988,463.2799988,510.1600037,491.6799927,510.480011,475.0400085,524.5599976,478.9599915,524.0800171,499.2799988,550.7199707,469.3599854,553.6799927,504.6400146,511.1199951,469.3599854,519.9199829
19,504.0466355,526.7999878,469.1199951,508.480011,503.6000061,524.2399902,478.5599976,496,475.8399963,490,461.6000061,497.6000061,487.4400024,528.3200073,472.7200012,523.5200195,481.2799988,515.3599854,493.6000061,542.6400146,467.6799927,522.0800171,504.1600037,505.2799988,474.8800049,512.2399902
20,504.0491755,487.0400085,463.8399963,476.7200012,478.9599915,520.4799805,470.7999878,483.0400085,474.5599976,481.0400085,464.0799866,482.3200073,482.2399902,514.7199707,467.6799927,510.5599976,477.8399963,503.2000122,502,513.039978,473.6000061,502.8800049,519.7600098,497.9200134,476.2399902,495.6000061
21,504.0517155,476.9599915,471.0400085,467.4400024,480.6400146,509.2799988,483.2000122,468.5599976,504.7200012,468.3999939,476.1600037,471.8399963,482.5599976,499.519989,471.8399963,496.6400146,471.7600098,495.9200134,506.7999878,500,481.6000061,497.8399963,524.2399902,495.4400024,489.4400024,492.6400146
22,504.0542555,475.519989,499.6000061,455.1199951,497.8399963,502.0799866,520,458.1600037,550.0800171,449.3599854,492.5599976,472,480.3200073,488.6400146,478.0799866,495.2000122,469.3599854,500.7200012,517.2800293,497.6000061,502.1600037,504.7200012,526.3200073,502.9599915,495.519989,487.9200134
23,504.0567955,450.7200012,492.9599915,453.519989,519.2800293,478.480011,533.4400024,458.1600037,565.6799927,446.3200073,505.9200134,474.480011,495.4400024,487.6000061,489.6799927,498.2399902,476.7999878,511.3599854,520.960022,505.3599854,510.2399902,510.3200073,537.3599854,500.480011,500.6400146,494.480011
24,504.0593355,452,502.1600037,465.2799988,528.7199707,470.3999939,517.3599854,490.8800049,542.5599976,478.7999878,531.1199951,474.8800049,509.0400085,476.480011,503.1199951,497.7600098,504,502.480011,531.8400269,512.7999878,524.960022,531.2000122,545.5200195,512.2399902,518.960022,519.3599854
25,504.0618755,477.2000122,512,476.1600037,522.960022,469.7600098,511.6000061,538.7999878,545.5200195,489.6000061,514.3200073,485.4400024,529.6799927,476.5599976,503.519989,492.3999939,515.8400269,495.8399963,537.7600098,524.4000244,522.5599976,534.5599976,562.7999878,529.2800293,536.7999878,530.8800049
26,504.0644155,486,511.6799927,509.2000122,551.9199829,499.519989,536.4000244,560,540.7999878,527.2000122,516.8800049,509.6000061,547.2800293,494.480011,516.6400146,502.8800049,522.4000244,497.4400024,539.1199951,531.1199951,530.3200073,549.1199951,570.1599731,537.2800293,547.9199829,543.5999756
27,504.0669555,485.3599854,510.3200073,512.6400146,548.3200073,506.1600037,543.039978,516,524.3200073,538,513.5999756,513.9199829,559.4400024,525.5200195,533.4400024,537.5200195,510.1600037,531.1199951,530,531.5999756,529.5999756,564.6400146,555.1199951,543.1199951,534.7199707,540.4799805
28,504.0694955,494.7200012,501.7600098,516.6400146,533.7600098,516.3200073,512.5599976,516.960022,502.0799866,531.8400269,516.960022,506.480011,556.3200073,542.960022,525.6799927,540.5599976,502.9599915,546.1599731,517.9199829,537.2800293,526,574.4799805,540.7199707,558.7999878,533.3599854,561.2000122
29,504.0720355,500.3999939,469.519989,522.7999878,521.7600098,540.2399902,514.0800171,520.7999878,522.4000244,523.6799927,511.0400085,511.6799927,520.7999878,562.960022,523.2000122,547.5999756,498.5599976,551.4400024,513.5999756,534.6400146,522.4000244,575.1199951,529.039978,566.960022,526.7199707,565.039978
30,504.0745755,512.6400146,463.9200134,519.2800293,524.0800171,536.4799805,521.4400024,508.480011,535.7600098,516,501.2000122,517.5999756,506,589.5999756,509.2000122,538.8800049,496.8800049,546.3200073,507.0400085,525.2800293,518.4799805,573.5999756,521.7600098,553.8400269,506.480011,569.5200195
31,504.0771155,507.2000122,470,499.6799927,500.480011,530.2399902,503.8399963,489.6799927,505.519989,502.3200073,482.2399902,515.5999756,499.2000122,568,486.7200012,531.2800293,486.3999939,543.5200195,507.519989,524.8800049,497.2799988,569.7600098,507.0400085,548.5599976,484.3999939,566.2399902
32,504.0796555,467.0400085,457.3599854,484.7999878,465.0400085,513.7600098,461.2799988,502.7999878,461.9200134,519.4400024,462.5599976,499.4400024,492.0799866,534.7199707,463.6000061,529.9199829,465.9200134,539.1199951,481.519989,520.3200073,477.6799927,547.2800293,493.519989,541.3599854,476.8800049,553.7600098
